,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
3087,002253,川大智胜,0.394,15.28,15.56,15.58,15.05,15.22,7041232.0,3.39546,107212856.0,63.667,2.544,344756.67316,316864.750632
3088,002252,上海莱士,-0.955,9.33,9.45,9.49,9.27,9.42,59649356.0,1.19961,558671810.0,-30.097,4.047,4641322.418367,4639238.422917
3089,002251,步 步 高,1.261,8.83,8.71,8.98,8.6,8.72,8493337.0,0.9831300000000001,74936155.0,49.028,1.002,762827.188733,762827.188733
3090,002250,联化科技,-0.124,16.1,16.26,16.3,16.0,16.12,7497919.0,0.8362100000000001,120657942.0,402.5,2.483,1487443.67016,1443606.13936
3091,002249,大洋电机,1.232,4.11,4.1,4.14,4.05,4.06,30284925.0,1.85114,124057144.0,-4.11,1.3940000000000001,972232.897404,672401.88552
3092,002248,华东数控,0.369,8.16,8.12,8.65,8.03,8.13,8969832.0,3.06139,74497873.0,-4.364,22.06,250916.4096,239086.561392
3093,002247,聚力文化,2.439,2.52,2.48,2.52,2.46,2.46,19022543.0,3.49344,47319604.0,-0.739,1.063,214419.252348,137219.413212
3094,002246,北化股份,0.328,9.19,9.28,9.28,9.01,9.16,17719795.0,3.93864,161925050.0,39.957,2.027,504562.975686,413454.939559
3095,002245,澳洋顺昌,3.8,5.19,5.06,5.22,5.01,5.0,31712455.0,3.46739,162196450.0,43.286,2.495,509301.428316,474673.593135
3096,002244,滨江集团,-0.213,4.68,4.69,4.73,4.63,4.69,20748939.0,0.76765,97114579.0,12.0,0.915,1456155.74052,1264959.02052
3097,002243,通产丽星,2.19,14.0,13.8,14.15,13.7,13.7,10669088.0,2.92345,148866224.0,62.222,3.142,1630448.4826,510928.5384
3098,002242,九阳股份,8.477,30.2,28.17,30.42,27.91,27.84,12165992.0,1.5944099999999999,357215740.0,30.505,6.565,2317282.24,2304376.3908
3099,002241,歌尔股份,0.226,22.22,22.55,22.73,21.66,22.17,71925104.0,2.60066,1590702947.0,82.296,4.533,7210620.972456,6145265.307566
3100,002240,威华股份,10.0,10.23,9.37,10.23,9.37,9.3,30955187.0,6.30954,307485860.0,34.1,2.442,672321.808587,501893.288325
3101,002239,奥特佳,10.082,5.35,4.89,5.35,4.79,4.86,369493312.0,11.94888,1871911166.0,535.0,3.217,1675277.288095,1654371.557475
3102,002238,天威视讯,0.0,8.88,9.1,9.13,8.8,8.88,12626080.0,2.0452,112210089.0,27.75,2.089,548209.6416,548209.6416
3103,002237,恒邦股份,1.283,15.0,14.7,15.03,14.62,14.81,34339786.0,4.03203,509149961.0,33.333,2.973,1365600.0,1277512.5
3104,002236,大华股份,2.455,20.03,19.82,20.05,19.36,19.55,74695098.0,4.11852,1472775970.0,23.023,4.249,6025006.43369,3632721.959557
3105,002235,安妮股份,1.433,10.62,10.66,10.69,10.38,10.47,45791017.0,8.58566,482589721.0,87.696,3.028,616582.633608,566410.468842
3106,002234,民和股份,4.455,32.59,31.37,33.51,30.93,31.2,34601896.0,16.78447,1116170559.0,25.865,4.1370000000000005,984369.973688,671856.730081
3107,002233,塔牌集团,-1.536,12.82,13.0,13.19,12.72,13.02,54568788.0,4.69591,704299375.0,8.868,1.673,1528496.570512,1489747.72181
3108,002232,启明信息,-0.192,10.41,10.65,10.69,10.25,10.43,16045582.0,3.97451,167005693.0,58.947,3.753,425298.941655,420264.627138
3109,002231,奥维通信,1.832,7.78,8.05,8.1,7.73,7.64,17096879.0,5.91741,134876721.0,-20.892,5.054,277590.4,224783.65
3110,002230,科大讯飞,-1.086,42.79,44.5,44.68,41.98,43.26,100849920.0,5.4581,4351961570.0,158.481,8.394,9407702.711693,7906352.412211
3111,002229,鸿博股份,-0.86,8.07,8.15,8.21,7.88,8.14,26315445.0,6.41415,211891730.0,783.495,2.412,402163.820241,331089.238497
3112,002228,合兴包装,4.787,3.94,3.79,3.96,3.76,3.76,32699822.0,2.8058,126797585.0,19.7,1.605,460789.677512,459182.200852
3113,002227,奥 特 迅,2.426,13.09,12.86,14.02,12.86,12.78,10837106.0,4.9191,144841564.0,277.331,3.606,288761.9966,288381.323692
3114,002226,江南化工,0.758,5.32,5.36,5.38,5.25,5.28,15514235.0,1.61894,82515798.0,30.279,1.116,664458.25908,509812.085076
3115,002225,濮耐股份,0.469,4.28,4.28,4.4,4.21,4.26,10891467.0,1.58809,46847680.0,17.12,1.588,442448.757412,293531.03062
3116,002224,三 力 士,0.127,7.91,7.98,8.08,7.83,7.9,26213334.0,4.85887,207729781.0,60.846,2.601,574616.185983,426740.353578
3117,002223,鱼跃医疗,-0.031,32.05,32.28,32.57,31.08,32.06,39327858.0,4.53684,1252628647.0,43.904,5.302,3212938.557445,2778272.34543
3118,002222,福晶科技,0.389,12.89,12.99,13.12,12.71,12.84,16374383.0,3.8717,211377644.0,36.64,5.829,551047.5,545150.323711
3119,002221,东华能源,3.067,11.09,10.78,11.18,10.6,10.76,79158125.0,5.1755700000000004,862793169.0,16.697,1.986,1829609.151816,1696167.584546
3120,002220,ST天宝,2.381,1.29,1.27,1.31,1.26,1.26,13164543.0,1.9912200000000002,16903800.0,-5.983,0.461,98875.939737,85285.596237
3121,002219,恒康医疗,0.791,2.55,2.55,2.56,2.52,2.53,19688607.0,1.0676,49982307.0,-3.355,1.866,475635.28965,470268.18786
3122,002218,拓日新能,10.149,3.69,3.4,3.69,3.4,3.35,26391104.0,2.17083,96102053.0,52.714,1.545,456210.236376,448599.694401
3123,002217,合力泰,0.0,7.7,7.85,7.91,7.45,7.7,146847449.0,5.43886,1123839058.0,17.907,2.013,2399640.4894,2078973.01689
3124,002216,三全食品,-1.582,19.29,19.59,20.1,18.91,19.6,14134791.0,2.50012,275218908.0,148.385,7.243,1541769.117954,1090588.099281
3125,002215,诺 普 信,0.0,6.79,6.74,6.9,6.68,6.79,43148967.0,5.92597,292568797.0,18.856,2.709,620657.864736,494402.509342
3126,002214,大立科技,-3.396,24.18,24.93,25.47,23.7,25.03,46869197.0,13.11682,1137401045.0,201.5,9.932,1109055.998388,864003.147618
3127,002213,特 尔 佳,9.871,15.36,14.09,15.38,14.09,13.98,7667044.0,3.72187,114173359.0,3011.765,8.717,316416.0,316416.0
3128,002212,南洋股份,-1.373,28.73,30.06,30.45,28.07,29.13,18871829.0,1.69257,544941976.0,68.405,3.96,3328322.477805,3203333.141437
3129,002211,宏达新材,2.048,5.98,5.92,6.03,5.88,5.86,5504254.0,1.7744900000000001,32831188.0,232.685,3.255,258620.515842,185492.590842
3130,002210,*ST飞马,4.237,1.23,1.18,1.24,1.18,1.18,31233895.0,2.3573500000000003,38163632.0,-0.918,1.4020000000000001,203304.287478,162969.825513
3131,002209,达 意 隆,2.973,6.58,6.41,6.6,6.41,6.39,5265448.0,3.4075100000000003,34359963.0,124.151,2.097,128470.5849,101677.174956
3132,002208,合肥城建,-2.767,7.73,7.74,8.02,7.55,7.95,35566476.0,6.96224,277022962.0,9.995,2.06,395899.68,394885.899003
3133,002207,ST准油,0.0,5.85,5.88,5.88,5.75,5.85,2029668.0,0.855,11816521.0,-4.12,112.069,139918.76613,138871.91214
3134,002206,海 利 得,0.244,4.1,4.12,4.12,4.05,4.09,13148326.0,1.36589,53600590.0,14.138,1.8359999999999999,501441.74445,394673.71333
3135,002205,国统股份,0.292,13.74,13.92,13.98,13.61,13.7,5851150.0,5.03749,80543488.0,477.083,1.703,159592.872732,159592.872732
3136,002204,大连重工,1.27,3.19,3.16,3.22,3.14,3.15,13440600.0,0.69591,42858048.0,319.0,0.926,616107.040208,616107.040208
3137,002203,海亮股份,2.017,9.61,9.48,9.68,9.43,9.42,4697943.0,0.25734,44920830.0,18.424,2.216,1875975.242152,1754359.495707
3138,002202,金风科技,3.981,11.23,10.9,11.24,10.85,10.8,50927228.0,1.50363,564916856.0,12.698,1.705,4744750.967581,3803541.42485
3139,002201,九鼎新材,-0.598,18.29,18.16,18.64,18.16,18.4,12669015.0,3.82016,232352752.0,304.833,6.728,608083.00263,606561.007596
3140,002200,*ST云投,1.765,6.92,6.88,7.1,6.84,6.8,4401797.0,2.51709,30575395.0,-4.989,6.831,127419.95988,121014.253588
3141,002199,东晶电子,-0.095,10.51,10.73,10.78,10.28,10.52,11632423.0,4.77831,122217065.0,-32.844,6.394,255857.923513,255857.923513
3142,002198,嘉应制药,1.002,5.04,5.02,5.05,4.99,4.99,8025665.0,1.58138,40283987.0,71.388,3.173,255784.963392,255784.963392
3143,002197,证通电子,1.705,10.14,10.45,10.65,10.0,9.97,51657497.0,11.88726,532318936.0,-21.574,2.182,522369.145272,440645.679396
3144,002196,方正电机,2.202,5.57,5.51,5.6,5.45,5.45,7136565.0,1.73876,39361162.0,-5.515,1.236,261063.07601,228614.538596
