date,agriculture,automobile,bank,building,chemical,cloths,communication,computer,decorating,electEquipment,electrical,electronic,excavation,finance,food,house,integrated,lightIndustry,mechanics,media,medical,metals,public,service,steel,trade,transport,war
2019-08-02,0.533839322001852,0.19399604582013427,0.4921240691786627,0.4210985203604304,0.5134093086579907,0.4192399657440785,0.31886476811623476,0.28612935146222773,0.21172091089968412,0.17426842001285614,0.43941426055701144,0.44707736169026846,0.26059431974775477,0.20841770305044677,0.7411042013000989,0.27878314594830694,0.24663203834852973,0.4452215178828338,0.24725849120364507,0.37104149059053276,0.3853685654603238,0.5026343807182211,0.24255099255280793,0.40561254439903777,0.24456196366587185,0.47609870865098536,0.32804840980183164,0.31510137769928354
2019-08-05,0.5317549398555995,0.18543186673394368,0.4703330660247671,0.4037044289840134,0.5137502535277293,0.41704398203282816,0.3164220980423437,0.28442383234116386,0.21015982664817665,0.17135578102072435,0.4262149341613036,0.4482410522593495,0.2530215102359397,0.19689780226720485,0.7306244668685378,0.26577583852550934,0.2367735874834603,0.4402966380511509,0.24117658784034454,0.3603720330395458,0.3725678581086024,0.5289812621373542,0.22933966305792444,0.3966438444801753,0.23720990150309335,0.4693436828296248,0.31881958979671193,0.3104959716632655
2019-08-06,0.5207639903655106,0.17108288444975459,0.45970918371531777,0.3998118499405543,0.49029760161229613,0.4029570607037257,0.29978813265933163,0.2543251330071605,0.2060081849524027,0.17034405514240528,0.42329068408237613,0.4606676163375588,0.23495760808651905,0.17660759150945987,0.734270604186951,0.2633517449064312,0.22922098985457928,0.4232201742510233,0.25592775781151106,0.3516462475163697,0.3649227512731166,0.5088631385611934,0.21454628849410082,0.37495789435073223,0.22281443606311613,0.4597044475220892,0.299112953100465,0.3222572139913361
2019-08-07,0.5280994474647824,0.17480631432867236,0.45912420019620426,0.3874073796970988,0.4800691917388821,0.4027501110032395,0.295132340683545,0.24356141624406122,0.19980072313331074,0.16171664629969565,0.4323759336560914,0.4633882370722234,0.2517042831650291,0.1715648729860207,0.7149238108122491,0.2637803212883267,0.22937499341371895,0.427266842225311,0.2500833098876391,0.3474515524235403,0.3612978356036573,0.5349725035304036,0.2124329500154166,0.38367749248592947,0.22405364282074497,0.4535307099626351,0.2971215337267262,0.3066688511681527
2019-08-08,0.5275201888746498,0.18019165424635106,0.4744696027610134,0.3857370502243435,0.47261523254742277,0.40732958476187575,0.30427861795162353,0.24652875431769364,0.20183267273591418,0.16439562139521147,0.4288517636154928,0.4751858802764388,0.24707435556020463,0.1748374333199784,0.7336178065594217,0.2657628014147127,0.2359180756200555,0.4394090865377045,0.26506626670489997,0.3503345322847086,0.3749913899562508,0.5274908349155172,0.21428947348832939,0.3888346236699705,0.2270266688261396,0.45989751278912294,0.3008765693007874,0.2995055115427293
2019-08-09,0.5223500016941014,0.1763466036994014,0.47699704567987106,0.3737010413210762,0.4559556479264513,0.4018933798323219,0.30003379610193226,0.23391687918709372,0.19480557208148067,0.15813791876889305,0.41813488878820915,0.4637530172428292,0.2448649005189582,0.1675257777534282,0.7358407952491895,0.25606993032020464,0.24020727286815205,0.4307130451083077,0.2897726386549781,0.34707579294101737,0.37265047573298254,0.5122851985088688,0.21356855777370928,0.37938150532915527,0.22343424382113156,0.45515792502031804,0.30107559490322416,0.2780872238875549
2019-08-12,0.5182756996099888,0.18416423278049782,0.48787559138738923,0.38588325063470086,0.4671849599487502,0.40455155267773335,0.31259370064571584,0.24704711898261467,0.20197572555003776,0.1661943467920214,0.4370649811317945,0.5165069941728992,0.2508503579506661,0.1782640355449611,0.7539094106219546,0.2655678379459919,0.24785152415404316,0.43352186834588663,0.3022257975741274,0.3519128986237431,0.37986859800385364,0.5090278327779257,0.22165916445849518,0.391019015379324,0.2267101443457263,0.4632427823269124,0.30708757954030413,0.28360473602306696
2019-08-13,0.5073143888951683,0.1781959474329245,0.47827218269261385,0.3841089991920633,0.4668659969320359,0.40277204768989516,0.3157646315561151,0.2377257615753669,0.19867129618855825,0.1608143587105014,0.4196752309729049,0.5171717251600024,0.24989362843171584,0.17393388617826205,0.8055197056726231,0.2609215619495266,0.24783530174005333,0.44040529211709717,0.31090635849431925,0.3436156408027494,0.3886823297621978,0.5247309352469631,0.21728559541557732,0.38011480519164265,0.2227165353297932,0.4524785152503439,0.30624221439783633,0.28087250305026107
2019-08-14,0.49624117891845304,0.17740590860407152,0.469549484037425,0.3913578888181795,0.4709813275171557,0.3992645789624373,0.2649257205604794,0.24538777463677225,0.19799687639903177,0.1697212418936135,0.4193312278490967,0.5088122124776614,0.25465426745762454,0.1748511548561777,0.8179911436923927,0.2648883939370167,0.24658798723407732,0.43658460859438614,0.31554237016121284,0.3600403452240035,0.40455508971037196,0.5300344260195726,0.2209153731526515,0.39479599432246065,0.22507472490680316,0.4710046550121801,0.30986807720968945,0.2831557146450514
2019-08-15,0.49076172836408166,0.17606585106413397,0.46852056384813895,0.40157114081588324,0.47208805544721066,0.3987497742988463,0.33511768419386884,0.25091843837044947,0.19962886568401095,0.1785775414190084,0.4138821232419946,0.5308878275871531,0.25351472252611384,0.17462933696755276,0.8187730984975378,0.26866159067523643,0.24858786925252116,0.42786441267544506,0.3186832649558115,0.36388003813520126,0.41149530312237703,0.5288896598512036,0.22223593744234144,0.39866918521894,0.22349100412535994,0.47184558701593576,0.31120928630514255,0.2781729384294362
2019-08-16,0.5308927958540235,0.18220008333667131,0.4622017265238093,0.4122824715615723,0.48546076004294614,0.4046466574058066,0.3527897343878288,0.25365587950935437,0.1977417796757886,0.18295862266418858,0.41280206117942875,0.5395970479536791,0.25311774717549984,0.17716275680301347,0.8274942233167216,0.2707664416683209,0.2541863256922723,0.4226310772001048,0.3244784887446862,0.36890950899605,0.4191921359357603,0.5246158313332572,0.22872086203019154,0.4232567691160975,0.22198459121881423,0.4790957771302405,0.30984665162394415,0.28319854965038654
2019-08-19,0.5429028751951822,0.19968927689972787,0.46935657315429247,0.4331378885957832,0.5136286160663737,0.42758725610209797,0.3942613474044067,0.2849724857704553,0.21860050707929948,0.19450117614155413,0.4279319277083803,0.5844220025161294,0.26725736449396764,0.19720811278863007,0.8390048109679066,0.2906592391582298,0.2690501523843067,0.4334092352381983,0.34181204304722296,0.3861671722086538,0.4300826089829197,0.539949705159963,0.2537517581392819,0.4285509101789867,0.23238221614668686,0.5016251743985044,0.3258680042352055,0.3032921312757205
2019-08-20,0.5470460440703866,0.2005103028216646,0.46586108672077675,0.4458543397231162,0.5098656051095294,0.43294182914234847,0.3789344184262017,0.28814520647679026,0.2191773274813304,0.19124558494488364,0.42058986336100623,0.5798328249265498,0.26676586198003915,0.1920005521655372,0.8557623690409035,0.2913748599975222,0.26666098173181385,0.44227138352096973,0.3564045414900181,0.38640996265705935,0.4280044950293602,0.5297170249878391,0.2532055559860967,0.4259963253153488,0.2331125327484033,0.5009696549186302,0.3314841618165182,0.3005910445766936
2019-08-21,0.5170512248696202,0.2074287590764224,0.462232755679835,0.4526999321425091,0.519235513158137,0.4247603485971497,0.3741402956110423,0.28664745251599516,0.2202964794607157,0.19396038088450707,0.42264694614701537,0.6110046776023179,0.2670879106067162,0.18912647461945645,0.8495332458282506,0.2886249655990568,0.2673856800706663,0.42990490239921875,0.36967411876981227,0.3845807979930698,0.41970266519186,0.519695632098433,0.252153369485169,0.4202873522279365,0.2323491697376876,0.5033504563150671,0.3282727904093533,0.3110535749252795
