,date,predict,code
2305,2020-02-12,1.0,000402
2445,2020-02-13,1.0,000402
2585,2020-02-14,1.0,000402
2725,2020-02-17,1.0,000402
2865,2020-02-18,1.0,000402
3005,2020-02-19,1.0,000402
3145,2020-02-20,1.0,000402
3285,2020-02-21,1.0,000402
3425,2020-02-24,1.0,000402
3565,2020-02-25,1.0,000402
3705,2020-02-26,0.3615621328353882,000402
3845,2020-02-27,0.0,000402
3985,2020-02-28,0.0,000402
4125,2020-02-29,0.0,000402
104,2020-01-13,0.4148116111755371,000547
244,2020-01-14,0.0,000547
384,2020-01-15,0.0,000547
524,2020-01-16,0.0,000547
664,2020-01-17,0.0,000547
804,2020-01-20,0.0,000547
944,2020-01-21,0.0,000547
1084,2020-01-22,0.0,000547
1224,2020-01-23,0.0,000547
1364,2020-02-03,0.0,000547
1504,2020-02-04,0.0,000547
1644,2020-02-05,0.0,000547
1784,2020-02-06,0.0,000547
1924,2020-02-07,0.0,000547
2064,2020-02-10,1.0,000547
2204,2020-02-11,1.0,000547
2344,2020-02-12,1.0,000547
2484,2020-02-13,1.0,000547
2624,2020-02-14,1.0,000547
2764,2020-02-17,1.0,000547
2904,2020-02-18,1.0,000547
3044,2020-02-19,1.0,000547
3184,2020-02-20,1.0,000547
3324,2020-02-21,1.0,000547
3464,2020-02-24,1.0,000547
3604,2020-02-25,1.0,000547
3744,2020-02-26,0.0,000547
3884,2020-02-27,0.0,000547
4024,2020-02-28,0.0,000547
4164,2020-02-29,0.0,000547
129,2020-01-13,1.0,000563
269,2020-01-14,1.0,000563
409,2020-01-15,0.0,000563
549,2020-01-16,0.0,000563
689,2020-01-17,0.0,000563
829,2020-01-20,0.0,000563
969,2020-01-21,0.0,000563
1109,2020-01-22,0.0,000563
1249,2020-01-23,0.0,000563
1389,2020-02-03,0.0,000563
1529,2020-02-04,0.0,000563
1669,2020-02-05,0.0,000563
1809,2020-02-06,0.0,000563
1949,2020-02-07,0.0,000563
2089,2020-02-10,1.0,000563
2229,2020-02-11,1.0,000563
2369,2020-02-12,1.0,000563
2509,2020-02-13,1.0,000563
2649,2020-02-14,1.0,000563
2789,2020-02-17,1.0,000563
2929,2020-02-18,1.0,000563
3069,2020-02-19,1.0,000563
3209,2020-02-20,1.0,000563
3349,2020-02-21,1.0,000563
3489,2020-02-24,1.0,000563
3629,2020-02-25,1.0,000563
3769,2020-02-26,1.0,000563
3909,2020-02-27,0.0,000563
4049,2020-02-28,0.0,000563
4189,2020-02-29,0.0,000563
35,2020-01-13,1.0,000568
175,2020-01-14,1.0,000568
315,2020-01-15,1.0,000568
455,2020-01-16,1.0,000568
595,2020-01-17,1.0,000568
735,2020-01-20,1.0,000568
875,2020-01-21,1.0,000568
1015,2020-01-22,1.0,000568
1155,2020-01-23,1.0,000568
1295,2020-02-03,1.0,000568
1435,2020-02-04,1.0,000568
1575,2020-02-05,1.0,000568
1715,2020-02-06,1.0,000568
1855,2020-02-07,1.0,000568
1995,2020-02-10,1.0,000568
2135,2020-02-11,1.0,000568
2275,2020-02-12,1.0,000568
2415,2020-02-13,1.0,000568
2555,2020-02-14,1.0,000568
2695,2020-02-17,1.0,000568
2835,2020-02-18,1.0,000568
2975,2020-02-19,1.0,000568
3115,2020-02-20,1.0,000568
3255,2020-02-21,1.0,000568
3395,2020-02-24,1.0,000568
3535,2020-02-25,1.0,000568
3675,2020-02-26,1.0,000568
3815,2020-02-27,1.0,000568
3955,2020-02-28,1.0,000568
4095,2020-02-29,1.0,000568
86,2020-01-13,1.0,000672
226,2020-01-14,0.9765186309814453,000672
366,2020-01-15,0.0,000672
506,2020-01-16,0.0,000672
646,2020-01-17,0.0,000672
786,2020-01-20,0.0,000672
926,2020-01-21,0.0,000672
1066,2020-01-22,0.0,000672
1206,2020-01-23,0.0,000672
1346,2020-02-03,0.0,000672
1486,2020-02-04,0.0,000672
1626,2020-02-05,0.0,000672
1766,2020-02-06,0.0,000672
1906,2020-02-07,0.0,000672
2046,2020-02-10,0.5603952407836914,000672
2186,2020-02-11,1.0,000672
2326,2020-02-12,1.0,000672
2466,2020-02-13,1.0,000672
2606,2020-02-14,1.0,000672
2746,2020-02-17,1.0,000672
2886,2020-02-18,1.0,000672
3026,2020-02-19,1.0,000672
3166,2020-02-20,1.0,000672
3306,2020-02-21,1.0,000672
3446,2020-02-24,1.0,000672
3586,2020-02-25,1.0,000672
3726,2020-02-26,1.0,000672
3866,2020-02-27,0.0,000672
4006,2020-02-28,0.0,000672
4146,2020-02-29,0.0,000672
56,2020-01-13,0.9006586074829102,000720
196,2020-01-14,0.0,000720
336,2020-01-15,0.0,000720
476,2020-01-16,0.0,000720
616,2020-01-17,0.0,000720
756,2020-01-20,0.0,000720
896,2020-01-21,0.0,000720
1036,2020-01-22,0.0,000720
1176,2020-01-23,0.0,000720
1316,2020-02-03,0.0,000720
1456,2020-02-04,0.0,000720
1596,2020-02-05,0.0,000720
1736,2020-02-06,0.0,000720
1876,2020-02-07,0.0,000720
2016,2020-02-10,1.0,000720
2156,2020-02-11,1.0,000720
2296,2020-02-12,1.0,000720
2436,2020-02-13,1.0,000720
2576,2020-02-14,1.0,000720
2716,2020-02-17,1.0,000720
2856,2020-02-18,1.0,000720
2996,2020-02-19,1.0,000720
3136,2020-02-20,1.0,000720
3276,2020-02-21,1.0,000720
